user_id,session,date,total_clicks,item_clicks,multi_channel,avg_time_in_one_click,total_time_in_a_session,avg_price,purchase,num_transaction,discount,purchase_discount,new,weekday,weekend,year,week,month
0127CEA0DFAFE0BD,172,12-Nov-15,6,6,0,612.5,3675,41.25,1,2,1,1,0,5,0,2015,46,11
0127CEA0DFAFE0BD,173,10-Nov-15,3,3,0,477.3333333,1432,54.125,0,0,1,0,0,3,0,2015,46,11
0127CEA0DFAFE0BD,174,7-Sep-15,9,9,0,126.2222222,1136,91,0,0,1,0,0,2,0,2015,37,9
0127CEA0DFAFE0BD,175,4-Mar-15,5,5,0,153,765,42.324,1,2,1,1,0,4,0,2015,10,3
0127CEA0DFAFE0BD,176,1-Mar-15,3,3,0,58,174,63.33333333,0,0,1,0,0,1,1,2015,10,3
0135CD39AB172D0E,177,27-Dec-16,4,4,0,645.5,2582,77.26666667,1,1,1,0,0,3,0,2016,53,12
0145FD66E592FF7E,178,1-Feb-15,1,1,0,60,60,,0,0,0,0,1,1,1,2015,6,2
014BAEE74D7F9E5F,179,24-Sep-16,2,2,0,39.5,79,49,1,1,1,1,0,7,1,2016,39,9
014BAEE74D7F9E5F,180,10-Aug-16,2,2,0,216,432,85.695,1,1,0,0,0,4,0,2016,33,8
014E6F77B0EC4BBE,181,12-Mar-15,1,1,0,60,60,62,0,0,1,0,0,5,0,2015,11,3
0158C73AB6091417,182,6-Feb-16,2,2,0,35.5,71,65.5,0,0,1,0,0,7,1,2016,6,2
0158C73AB6091417,183,18-Jun-15,6,6,0,95.66666667,574,87.88888889,1,1,1,1,1,5,0,2015,25,6
015D8B55BD375EB7,184,21-Jan-15,1,1,0,60,60,149,0,0,1,0,0,4,0,2015,4,1
016C5E0B68267C87,185,10-Nov-16,4,4,0,464,1856,76.4,1,1,0,0,0,5,0,2016,46,11
016EAA8C94761238,186,24-Dec-16,1,1,0,61,61,8,0,0,0,0,0,7,1,2016,52,12
016EAA8C94761238,187,28-Mar-16,1,1,0,60,60,14.9,0,0,0,0,0,2,0,2016,14,3
016EAA8C94761238,188,26-Aug-15,1,1,0,236,236,80,1,1,0,0,0,4,0,2015,35,8
016EAA8C94761238,189,28-Jun-15,1,1,0,60,60,75.9,0,0,1,0,0,1,1,2015,27,6
016EAA8C94761238,190,21-Jun-15,1,1,0,60,60,83.9,0,0,1,0,0,1,1,2015,26,6
016EAA8C94761238,191,7-Jun-15,1,1,0,60,60,0,0,0,0,0,0,1,1,2015,24,6
016EAA8C94761238,192,23-Apr-15,1,1,0,60,60,0,1,1,0,0,0,5,0,2015,17,4
016EAA8C94761238,193,21-Apr-15,1,1,0,60,60,0,1,1,0,0,0,3,0,2015,17,4
01755778B0C3B56B,194,11-Nov-16,4,4,0,44.5,178,58.95,1,1,1,0,0,6,0,2016,46,11
01755778B0C3B56B,195,5-Nov-16,11,7,0,1946,21406,52.06837945,1,7,1,1,0,7,1,2016,45,11
01755778B0C3B56B,196,4-Nov-16,2,2,0,59,118,36.05,0,0,0,0,0,6,0,2016,45,11
01755778B0C3B56B,197,1-Nov-16,1,1,0,61,61,38,0,0,1,0,0,3,0,2016,45,11
01755778B0C3B56B,198,30-Sep-16,1,1,0,60,60,139,0,0,0,0,0,6,0,2016,40,9
01755778B0C3B56B,199,28-Sep-16,1,1,0,62,62,139,0,0,0,0,0,4,0,2016,40,9
01755778B0C3B56B,200,26-Sep-16,3,3,0,461.3333333,1384,22.59333333,0,0,1,0,0,2,0,2016,40,9
01755778B0C3B56B,201,19-Sep-16,2,2,0,1229,2458,57.9,1,1,0,0,0,2,0,2016,39,9
01755778B0C3B56B,202,9-Sep-16,2,2,0,58.5,117,32.9,1,2,1,1,0,6,0,2016,37,9
01755778B0C3B56B,203,31-Aug-16,5,5,0,888.2,4441,58.12,1,2,1,1,0,4,0,2016,36,8
01755778B0C3B56B,204,28-Aug-16,6,6,0,170.8333333,1025,47.6,1,3,1,1,0,1,1,2016,36,8
01755778B0C3B56B,205,26-Aug-16,2,2,0,61,122,14.95,1,2,1,1,0,6,0,2016,35,8
01755778B0C3B56B,206,22-Jul-16,1,1,0,60,60,29,0,0,1,0,0,6,0,2016,30,7
01755778B0C3B56B,207,31-Mar-16,1,1,0,82,82,34.9,0,0,1,0,0,5,0,2016,14,3
01755778B0C3B56B,208,26-Nov-15,22,22,0,27.09090909,596,50,0,0,1,0,0,5,0,2015,48,11
01755778B0C3B56B,209,8-Nov-15,1,1,0,530,530,68,0,0,1,0,0,1,1,2015,46,11
01755778B0C3B56B,210,21-Oct-15,1,1,0,60,60,19,0,0,1,0,0,4,0,2015,43,10
01755778B0C3B56B,211,18-Sep-15,1,1,0,60,60,27,0,0,1,0,0,6,0,2015,38,9
0176DE40FFB3BA7F,212,22-Sep-16,1,1,0,60,60,109,0,0,0,0,0,5,0,2016,39,9
0177D6706E4F0600,213,2-Sep-16,2,2,0,61,122,27.9,1,1,1,0,0,6,0,2016,36,9
017A1ADAD84A3303,214,11-Nov-15,1,1,0,60,60,,1,1,0,0,1,4,0,2015,46,11
017A1ADAD84A3303,215,10-Nov-15,14,14,0,124.6428571,1745,95.96666667,0,0,1,0,1,3,0,2015,46,11
017F43E26D00AF66,216,31-Jan-15,6,6,0,210,1260,71.3,1,3,1,1,0,7,1,2015,5,1
018DBAA22B58ACCA,217,8-Dec-15,5,5,0,77.8,389,84.23333333,0,0,1,0,0,3,0,2015,50,12
018DBAA22B58ACCA,218,24-Jul-15,2,2,0,44.5,89,115.85,1,1,1,1,0,6,0,2015,30,7
018DBAA22B58ACCA,219,22-Apr-15,7,7,0,57.28571429,401,72.18571429,0,0,1,0,0,4,0,2015,17,4
0192086EFBFB9E7B,220,26-Dec-16,2,2,0,331,662,82.45,0,0,0,0,0,2,0,2016,53,12
0192086EFBFB9E7B,221,25-Dec-16,1,1,0,61,61,99,0,0,0,0,0,1,1,2016,53,12
0192086EFBFB9E7B,222,11-Dec-16,9,9,0,780.4444444,7024,48.95857143,0,0,1,0,0,1,1,2016,51,12
0192086EFBFB9E7B,223,10-Dec-16,2,2,0,32,64,83.105,0,0,1,0,0,7,1,2016,50,12
0192086EFBFB9E7B,224,7-Dec-16,1,1,0,62,62,67.21,0,0,1,0,0,4,0,2016,50,12
0192086EFBFB9E7B,225,5-Dec-16,2,2,0,479,958,66.95,0,0,1,0,0,2,0,2016,50,12
0192086EFBFB9E7B,226,30-Nov-16,2,2,0,59,118,35.45,0,0,1,0,0,4,0,2016,49,11
0192086EFBFB9E7B,227,17-Nov-16,2,2,0,121,242,76.575,0,0,1,0,0,5,0,2016,47,11
0192086EFBFB9E7B,228,10-Nov-16,2,2,0,60,120,72.95,0,0,1,0,0,5,0,2016,46,11
0192086EFBFB9E7B,229,31-Oct-16,15,10,0,1663.8,24957,51.37111111,1,7,1,1,0,2,0,2016,45,10
0192086EFBFB9E7B,230,28-Oct-16,1,1,0,60,60,86.9,0,0,0,0,0,6,0,2016,44,10
0192086EFBFB9E7B,231,24-Oct-16,4,4,0,30,120,83.7,0,0,1,0,0,2,0,2016,44,10
0192086EFBFB9E7B,232,11-Oct-16,1,1,0,60,60,59,0,0,0,0,0,3,0,2016,42,10
0192086EFBFB9E7B,233,10-Oct-16,3,3,0,540.6666667,1622,50.3,1,1,1,1,0,2,0,2016,42,10
0192086EFBFB9E7B,234,17-Sep-16,2,2,0,60,120,66.95,0,0,1,0,0,7,1,2016,38,9
0192086EFBFB9E7B,235,13-Sep-16,3,3,0,639.6666667,1919,40.96666667,0,0,1,0,0,3,0,2016,38,9
0192086EFBFB9E7B,236,16-Aug-16,2,2,0,59.5,119,78.4,0,0,1,0,0,3,0,2016,34,8
0192086EFBFB9E7B,237,23-Apr-16,5,2,0,117.4,587,50,1,5,1,1,0,7,1,2016,17,4
